endpoint,subgroup,habitat,n,median_pct,q1_pct,q3_pct,p_value_within_endpoint
IDH mutation,IDH-mutant,1,131,0.30395136778115,0.05712742738046,0.802321976068805,5.5372189934027225e-24
IDH mutation,IDH-wildtype,2,309,5.03542510121457,2.18857742467396,9.4934515972559,1.8598509126945415e-18
IDH mutation,IDH-mutant,2,131,1.1535083694897001,0.36356571055647,2.4141569864087,1.8598509126945415e-18
IDH mutation,IDH-wildtype,3,309,12.090254299573711,8.20544286436151,17.63012371016475,3.0242590763494465e-09
IDH mutation,IDH-mutant,3,131,7.20386822496126,4.398467777751556,11.885421204381164,3.0242590763494465e-09
IDH mutation,IDH-wildtype,4,309,15.96950656882991,11.583003225317661,21.962063342202377,0.2890900792255853
IDH mutation,IDH-mutant,4,131,14.60162052667117,10.255020324110095,22.77384047668139,0.2890900792255853
IDH mutation,IDH-wildtype,5,309,15.34975200957756,11.422422887041641,19.72160526271172,1.72393207170542e-12
IDH mutation,IDH-mutant,5,131,21.81883624105792,16.77204802288854,27.941077992066575,1.72393207170542e-12
IDH mutation,IDH-wildtype,6,309,4.40746797993347,2.95781800647375,5.69864410056327,2.7415812704275204e-15
IDH mutation,IDH-mutant,6,131,7.249487198966801,4.83355786763712,9.13805298213683,2.7415812704275204e-15
IDH mutation,IDH-wildtype,7,309,35.04995424039048,19.37392310194835,51.73682530675935,0.12542713162758234
IDH mutation,IDH-mutant,7,131,37.49711136787841,26.49997512430449,55.35758170238077,0.12542713162758234
IDH mutation,IDH-wildtype,8,309,0.008608074373762589,0.002094270077069139,0.02035209117736,0.04825580333897773
IDH mutation,IDH-mutant,8,131,0.0063926356836923855,0.0,0.018540601118825,0.04825580333897773
1p/19q codeletion,Non-codeleted,1,370,1.811452398247455,0.42364117901346754,5.873210928632529,1.8002915489219976e-09
1p/19q codeletion,Codeleted,1,70,0.31503367887925,0.1085364087671325,0.9908068334511024,1.8002915489219976e-09
1p/19q codeletion,Non-codeleted,2,370,3.9087726537625302,1.4179140021310874,8.704641034745128,1.1596552538305143e-07
1p/19q codeletion,Codeleted,2,70,1.3649248170540251,0.44309552516619005,2.5792789239692624,1.1596552538305143e-07
1p/19q codeletion,Non-codeleted,3,370,11.095340623799204,6.695107219911325,16.59383851122206,0.0020585995527161454
1p/19q codeletion,Codeleted,3,70,7.93150493579512,4.8570221224539,12.496343328926862,0.0020585995527161454
1p/19q codeletion,Non-codeleted,4,370,15.574320580340064,11.02042673125609,22.149386465765538,0.8935909705132616
1p/19q codeletion,Codeleted,4,70,15.13591286359943,11.390990086962137,22.800559592189096,0.8935909705132616
1p/19q codeletion,Non-codeleted,5,370,16.006773250400634,11.811580889055953,21.212540747870737,5.14805200363055e-06
1p/19q codeletion,Codeleted,5,70,21.80905842251718,16.86329885766282,27.404314789812886,5.14805200363055e-06
1p/19q codeletion,Non-codeleted,6,370,4.7406288024696845,3.2213178979694326,6.3030323144168445,4.81909183981333e-06
1p/19q codeletion,Codeleted,6,70,7.4655392338775,4.48253663535286,9.20927675175663,4.81909183981333e-06
1p/19q codeletion,Non-codeleted,7,370,36.02180913087655,21.770667590578796,52.99848743128253,0.803699172573472
1p/19q codeletion,Codeleted,7,70,36.32680510008885,26.25898638312963,49.98874428998653,0.803699172573472
1p/19q codeletion,Non-codeleted,8,370,0.007854371091039555,0.00167937711345608,0.0195311150143975,0.4235654379612681
1p/19q codeletion,Codeleted,8,70,0.009238689661911622,0.0,0.01894155727335,0.4235654379612681
Ki-67,Low (<=10%),1,93,0.41177938607436004,0.07407126035098,1.1129924836871201,1.8866331477656456e-11
Ki-67,High (>10%),1,347,1.8864381991383,0.4774581040743,5.9994416743893,1.8866331477656456e-11
Ki-67,Low (<=10%),2,93,1.36853746198507,0.32708576802123,3.2902899682918902,2.887397780089828e-08
Ki-67,High (>10%),2,347,3.920579495385,1.46530089256545,8.833863389375434,2.887397780089828e-08
Ki-67,Low (<=10%),3,93,8.01042279566277,4.77668903057747,13.01279508491619,0.0013476172310482426
Ki-67,High (>10%),3,347,11.07363238162227,7.049969515431195,16.719630413489334,0.0013476172310482426
Ki-67,Low (<=10%),4,93,14.844078339077068,11.2045203969129,22.8272787076968,0.7850662496055735
Ki-67,High (>10%),4,347,15.7620061244305,10.965889579006031,22.050811045139156,0.7850662496055735
Ki-67,Low (<=10%),5,93,22.554583431859378,16.63469573805363,27.63230429988975,7.914834063067613e-08
Ki-67,High (>10%),5,347,15.78604044357469,11.702422323907806,20.547441900313338,7.914834063067613e-08
Ki-67,Low (<=10%),6,93,6.57029491980948,4.70182587571507,9.460829791365502,1.760833919091055e-08
Ki-67,High (>10%),6,347,4.57205477818116,3.0637379794980353,6.15162219802413,1.760833919091055e-08
Ki-67,Low (<=10%),7,93,34.77395250223009,24.04558759419567,50.441999803555646,0.7552300037081303
Ki-67,High (>10%),7,347,36.076588401593455,21.95511230445845,53.178319041210294,0.7552300037081303
Ki-67,Low (<=10%),8,93,0.008608074373762589,0.0,0.01944614935858,0.8356440649919972
Ki-67,High (>10%),8,347,0.007618535448597293,0.001566187818355812,0.019450178912525,0.8356440649919972
